A,B,D,E
288,377,606,697
288,377,606,697
288,377,606,697
381,402,531,661
315,345,628,772
328,499,592,470
346,362,458,703
265,348,587,784
342,448,587,754
344,331,494,548
389,416,535,627
330,548,618,560
