A,B,D,E
153,245,277,670
128,211,535,680
174,238,587,621
107,162,630,595
156,193,579,658
133,215,641,595
108,261,582,682
221,267,544,607
129,244,508,634
114,188,283,643
122,176,502,640
95,179,479,570
