A,B,D,E
185,275,568,1016
254,402,778,883
201,317,758,884
216,334,605,800
241,320,621,835
280,301,703,819
216,334,605,800
241,320,621,835
280,301,703,819
298,367,603,813
205,263,658,750
220,313,624,765
