A,B,D,E
318,520,660,755
317,486,690,718
263,524,673,730
264,490,639,727
157,500,681,720
251,410,647,753
264,490,639,727
157,500,681,720
251,410,647,753
208,160,658,669
160,359,591,696
232,428,592,682
