A,B,D,E
299,221,684,873
212,171,785,811
221,322,678,928
419,454,765,902
331,410,764,832
337,314,728,867
419,454,765,902
331,410,764,832
337,314,728,867
262,299,621,716
249,376,675,682
344,318,544,756
