A,B,D,E
76,137,456,505
86,162,324,437
53,146,247,559
221,187,469,569
115,119,540,501
116,295,575,578
221,187,469,569
115,119,540,501
116,295,575,578
234,252,546,619
175,300,457,532
232,272,500,636
