A,B,D,E
213,279,716,762
193,291,662,785
154,259,748,816
110,230,659,720
108,285,700,718
124,250,645,717
110,230,659,720
108,285,700,718
124,250,645,717
134,209,442,672
128,208,575,645
108,194,553,629
