A,B,D,E
211,252,720,838
163,293,642,772
190,231,661,814
145,214,653,754
116,242,660,756
130,233,684,745
145,214,653,754
116,242,660,756
130,233,684,745
164,201,549,654
105,188,619,652
137,179,410,659
