A,B,D,E
192,317,537,710
195,214,445,657
224,255,456,547
275,282,518,715
231,256,376,554
197,316,544,730
275,282,518,715
231,256,376,554
197,316,544,730
268,285,497,666
143,246,631,786
230,264,533,677
