A,B,D,E
273,402,589,869
171,279,512,709
172,281,572,766
237,271,723,689
243,327,716,686
258,295,664,685
237,271,723,689
243,327,716,686
258,295,664,685
230,319,478,581
232,314,531,611
293,346,423,583
