A,B,D,E
280,336,663,762
312,425,613,711
325,386,607,711
227,259,685,702
241,293,742,741
233,293,668,760
342,397,605,694
298,396,635,707
271,384,624,747
263,266,574,608
297,369,726,712
276,289,545,862
