A,B,D,E
348,457,663,708
317,382,657,738
297,320,629,769
252,253,718,780
195,229,535,693
230,292,501,768
161,269,675,709
175,233,630,774
169,283,646,768
76,246,371,714
93,388,606,776
129,174,696,670
