A,B,D,E
288,377,606,697
288,377,606,697
288,377,606,697
334,376,451,654
437,411,561,552
348,380,603,587
304,400,539,629
416,522,626,619
394,436,609,730
361,488,699,835
373,460,638,631
457,444,543,706
