A,B,D,E
281,383,438,579
262,360,509,512
329,372,548,645
297,425,470,560
298,530,566,605
371,461,629,669
235,292,452,562
280,269,415,654
226,321,405,562
193,319,452,718
289,306,351,638
271,282,369,765
