A,B,D,E
202,403,648,851
267,338,491,709
203,340,623,813
152,303,617,737
241,347,459,706
230,250,487,707
187,453,673,748
274,528,746,653
220,328,703,815
288,375,476,759
154,370,427,646
182,383,347,614
