A,B,D,E
352,546,642,681
357,543,594,688
405,475,737,622
285,423,511,653
367,517,569,730
240,490,632,669
301,342,603,699
178,368,614,689
230,293,549,616
266,420,621,670
327,424,628,665
311,344,605,685
