A,B,D,E
402,536,795,897
415,506,770,909
351,472,752,853
331,466,816,932
311,371,795,951
298,443,853,958
304,440,906,901
292,518,805,899
340,419,871,940
311,357,753,856
332,415,691,859
310,423,761,875
