A,B,D,E
106,196,483,616
168,293,577,681
206,262,545,669
75,190,431,542
128,130,530,641
98,211,513,626
84,188,520,619
88,265,492,654
170,201,524,644
99,185,448,589
105,148,483,453
84,239,449,522
