A,B,D,E
94,157,433,501
76,151,389,428
137,105,368,449
270,354,559,608
240,350,530,600
220,365,580,620
265,418,588,544
263,264,553,608
256,405,599,613
300,394,590,618
272,247,472,623
260,311,628,672
