A,B,D,E
298,494,648,774
341,412,638,743
410,468,607,704
305,387,625,718
327,321,545,655
317,360,590,693
224,323,433,687
186,269,612,724
281,356,656,604
184,523,470,685
311,338,586,713
292,461,672,689
