A,B,D,E
144,188,536,508
57,216,377,516
139,218,437,538
209,350,609,620
210,347,500,600
270,327,486,626
260,366,498,589
260,338,607,589
256,406,504,590
200,236,490,541
255,272,464,561
276,335,483,557
