A,B,D,E
521,243,918,899
269,338,620,811
159,320,709,732
174,311,588,842
100,266,512,795
182,249,528,762
174,311,588,842
100,266,512,795
182,249,528,762
137,139,561,716
124,286,563,676
94,248,493,706
