A,B,D,E
65,176,639,833
157,362,757,795
156,315,736,874
183,384,784,937
196,332,843,940
241,381,685,898
183,384,784,937
196,332,843,940
241,381,685,898
261,423,771,882
268,479,738,879
268,438,815,888
