A,B,D,E
116,132,470,606
119,232,540,667
58,182,410,544
166,307,489,552
202,224,429,570
118,213,433,587
166,307,489,552
202,224,429,570
118,213,433,587
225,248,501,647
230,349,440,582
199,285,563,527
