A,B,D,E
142,338,628,759
168,297,568,703
214,316,634,767
103,240,684,638
151,281,553,819
113,278,624,742
103,240,684,638
151,281,553,819
113,278,624,742
160,234,667,712
139,197,654,691
91,230,675,778
