A,B,D,E
238,381,649,779
273,485,763,819
262,252,676,722
225,291,547,664
204,360,703,727
252,259,643,707
225,291,547,664
204,360,703,727
252,259,643,707
191,323,664,582
191,202,486,604
176,262,600,660
