A,B,D,E
184,469,500,747
237,387,610,661
248,487,678,636
246,521,681,761
304,464,705,818
300,482,678,773
246,521,681,761
304,464,705,818
300,482,678,773
288,362,650,726
275,391,682,701
243,324,664,608
