current_training_input_set
0.293
0.423
0.346
0.258
0.685
0.664
0.295
0.723
0.271
0.237
0.689
0.581
0.478
0.23
0.319
0.23
0.319
0.581
0.478
0.237
0.723
0.271
0.689
0.271
0.723
0.689
0.237
0.23
0.581
0.478
0.319
0.319
0.581
0.23
0.478
0.271
0.723
0.689
0.237
0.681
0.142
0.377
0.655
0.423
0.228
0.601
0.316
0.316
0.228
0.601
0.423
0.142
0.681
0.377
0.655
0.301
0.596
0.513
0.334
0.524
0.265
0.448
0.248
0.265
0.448
0.524
0.248
0.301
0.596
0.334
0.513
0.258
0.685
0.664
0.295
0.293
0.583
0.423
0.346
0.346
0.423
0.293
0.583
0.258
0.295
0.664
0.685
0.295
0.258
0.685
0.664
0.583
0.346
0.293
0.423
0.293
0.423
0.346
0.583
0.295
0.258
0.685
0.664
0.272
0.164
0.578
0.712
0.381
0.529
0.29
0.221
0.529
0.381
0.29
0.221
0.712
0.164
0.272
0.578
0.243
0.686
0.716
0.327
0.232
0.314
0.611
0.531
0.531
0.314
0.611
0.232
0.686
0.716
0.243
0.327
0.164
0.578
0.272
0.712
0.381
0.29
0.529
0.221
0.221
0.529
0.29
0.381
0.164
0.712
0.578
0.272
0.327
0.686
0.243
0.716
0.531
0.611
0.314
0.232
0.611
0.531
0.314
0.232
0.686
0.327
0.243
0.716
0.258
0.685
0.664
0.295
0.423
0.346
0.583
0.293
0.583
0.423
0.346
0.293
0.258
0.664
0.295
0.685
0.596
0.334
0.513
0.301
0.248
0.448
0.265
0.524
0.248
0.448
0.524
0.265
0.334
0.513
0.596
0.301
0.301
0.513
0.334
0.596
0.265
0.448
0.248
0.524
0.265
0.448
0.248
0.524
0.301
0.334
0.596
0.513
0.681
0.377
0.142
0.655
0.601
0.228
0.423
0.316
0.601
0.316
0.423
0.228
0.655
0.377
0.142
0.681
0.664
0.685
0.295
0.258
0.583
0.293
0.346
0.423
0.293
0.583
0.423
0.346
0.685
0.295
0.664
0.258
0.655
0.142
0.681
0.377
0.601
0.228
0.423
0.316
0.423
0.601
0.316
0.228
0.681
0.655
0.377
0.142
0.237
0.723
0.689
0.271
0.478
0.319
0.581
0.23
0.319
0.478
0.581
0.23
0.723
0.237
0.271
0.689
0.716
0.327
0.686
0.243
0.611
0.314
0.232
0.531
0.531
0.611
0.314
0.232
0.243
0.327
0.686
0.716
0.681
0.655
0.142
0.377
0.601
0.228
0.423
0.316
0.228
0.423
0.601
0.316
0.681
0.142
0.377
0.655
0.327
0.243
0.716
0.686
0.611
0.531
0.314
0.232
0.314
0.611
0.531
0.232
0.716
0.686
0.243
0.327
0.596
0.513
0.301
0.334
0.248
0.524
0.448
0.265
0.265
0.448
0.524
0.248
0.513
0.301
0.334
0.596
0.655
0.681
0.377
0.142
0.423
0.601
0.228
0.316
0.601
0.423
0.228
0.316
0.681
0.377
0.142
0.655
0.689
0.723
0.271
0.237
0.478
0.319
0.581
0.23
0.23
0.319
0.581
0.478
0.723
0.271
0.689
0.237
0.578
0.712
0.164
0.272
0.29
0.529
0.381
0.221
0.221
0.29
0.381
0.529
0.164
0.712
0.578
0.272
0.243
0.686
0.716
0.327
0.531
0.314
0.611
0.232
0.232
0.611
0.531
0.314
