Var1
0.633
0.514
0.085
0.597
0.75
0.949
0.311
0.855
0.514
0.085
0.633
0.311
0.75
0.597
0.949
0.973
1
0.247
0.509
0.876
0.063
0.842
0.514
0.509
0.973
0.247
1
0.514
0.842
0.063
0.876
0.085
0.855
0.633
0.514
0.597
0.75
0.311
0.949
0.514
0.085
0.633
0.855
0.949
0.597
0.75
0.311
0.961
0.364
0.451
0.694
0.923
0.444
0.226
0.993
0.364
0.961
0.451
0.694
0.226
0.923
0.444
0.993
1
0.973
0.509
0.247
0.063
0.876
0.842
0.514
0.973
0.247
1
0.509
0.876
0.063
0.514
0.842
0.617
0.571
0.961
0.993
0.485
0.889
0.927
0.682
0.617
0.993
0.961
0.571
0.889
0.927
0.682
0.485
0.617
0.961
0.993
0.571
0.889
0.927
0.682
0.485
0.961
0.571
0.617
0.993
0.889
0.682
0.927
0.485
0.888
0.182
0.095
0.806
0.706
0.323
0.905
0.92
0.182
0.888
0.095
0.806
0.706
0.905
0.323
0.92
0.806
0.182
0.888
0.095
0.905
0.92
0.323
0.706
0.095
0.182
0.806
0.888
0.905
0.706
0.92
0.323
0.095
0.888
0.806
0.182
0.92
0.905
0.706
0.323
0.888
0.182
0.806
0.095
0.905
0.706
0.92
0.323
0.451
0.694
0.961
0.364
0.226
0.923
0.993
0.444
0.364
0.961
0.694
0.451
0.923
0.226
0.993
0.444
1
0.247
0.973
0.509
0.876
0.514
0.842
0.063
0.973
0.247
0.509
1
0.876
0.063
0.842
0.514
0.961
0.451
0.694
0.364
0.993
0.444
0.226
0.923
0.961
0.364
0.451
0.694
0.993
0.226
0.444
0.923
0
0.59
0.813
0.871
0.906
0.719
0.349
0.396
0.813
0.871
0
0.59
0.906
0.396
0.719
0.349
0.617
0.571
0.961
0.993
0.485
0.682
0.889
0.927
0.571
0.961
0.993
0.617
0.485
0.927
0.889
0.682
0.182
0.888
0.806
0.095
0.905
0.92
0.323
0.706
0.806
0.888
0.095
0.182
0.92
0.323
0.905
0.706
0.085
0.633
0.855
0.514
0.949
0.597
0.75
0.311
0.633
0.514
0.855
0.085
0.311
0.75
0.597
0.949
0.806
0.888
0.095
0.182
0.92
0.706
0.323
0.905
0.888
0.182
0.806
0.095
0.905
0.706
0.92
0.323
0.973
1
0.247
0.509
0.063
0.842
0.876
0.514
1
0.973
0.247
0.509
0.876
0.514
0.842
0.063
0.571
0.961
0.617
0.993
0.485
0.927
0.682
0.889
0.961
0.993
0.571
0.617
0.927
0.485
0.889
0.682
0.871
0.59
0.813
0
0.349
0.906
0.396
0.719
0.871
0.813
0.59
0
0.906
0.396
0.719
0.349
0
0.59
0.871
0.813
0.396
0.349
0.906
0.719
0.871
0.59
0
0.813
0.349
0.396
0.906
0.719
0.888
0.806
0.182
0.095
0.323
0.706
0.92
0.905
0.182
0.888
0.806
0.095
0.92
0.323
0.706
0.905
0.871
0
0.813
0.59
0.396
0.906
0.719
0.349
0.813
0
0.871
0.59
0.906
0.719
0.349
0.396
1
0.509
0.973
0.247
0.063
0.876
0.514
0.842
0.973
1
0.247
0.509
0.063
0.514
0.842
0.876
0.694
0.451
0.364
0.961
0.927
0.682
0.485
0.961
0.571
0.617
0.993
0.889
0.682
0.927
0.485
0.888
0.182
0.095
0.806
0.706
0.323
0.905
0.92
0.182
0.888
0.095
0.806
0.706
0.905
0.323
0.92
0.806
0.182
0.888
0.095
0.905
0.92
0.323
0.706
0.095
0.182
0.806
0.888
0.905
0.706
0.92
0.323
0.095
0.888
0.806
0.182
0.92
0.905
0.706
0.323
0.888
0.182
0.806
0.095
0.905
0.706
0.92
0.323
0.451
