0,0,0,0.724
0.04,0,0,0.753
0.08,0,0,0.812
0.12,0,0,0.904
0.16,0,0,1.032
0.2,0,0,1.201
0.24,0,0,1.418
0.28,0,0,1.691
0.32,3,3,2.033
0.36,3,3,2.336
0.4,3,3,2.612
0.44,3,3,2.872
0.48,3,3,3.128
0.52,3,3,3.388
0.56,3,3,3.664
0.6,3,3,3.967
0.64,6,6,4.309
0.68,6,6,4.582
0.72,6,6,4.799
0.76,6,6,4.968
0.8,6,6,5.096
0.84,6,6,5.188
0.88,6,6,5.247
0.92,6,6,5.276
,,,
0,0,0,3.155
0.16,0,0,4.052
0.32,7,7,6.103
0.48,7,7,7.897
0.64,14,14,9.948
0.8,14,14,10.845
,,,
0,0,0,0.064
0.19,0,0,0.11
0.38,0,0,0.238
0.57,0,0,0.539
0.76,0,0,1.234
0.95,4,4,2.83
1.14,4,4,3.572
1.33,4,4,4
1.52,4,4,4.428
1.71,4,4,5.17
1.9,8,8,6.766
2.09,8,8,7.461
2.28,8,8,7.762
2.47,8,8,7.89
2.66,8,8,7.936
,,,
0,0,0,0.165
0.13,0,0,0.197
0.26,0,0,0.264
0.39,0,0,0.382
0.52,0,0,0.571
0.65,0,0,0.868
0.78,0,0,1.328
0.91,0,0,2.037
1.04,5,5,3.128
1.17,5,5,3.869
1.3,5,5,4.396
1.43,5,5,4.811
1.56,5,5,5.189
1.69,5,5,5.604
1.82,5,5,6.131
1.95,5,5,6.872
2.08,10,10,7.963
2.21,10,10,8.672
2.34,10,10,9.132
2.47,10,10,9.429
2.6,10,10,9.618
2.73,10,10,9.736
2.86,10,10,9.803
2.99,10,10,9.835
,,,
0,0,0,0.776
0.15,0,0,1.13
0.3,0,0,1.999
0.45,5,5,3.778
0.6,5,5,5
0.75,5,5,6.222
0.9,10,10,8.001
1.05,10,10,8.87
1.2,10,10,9.224
,,,
0,0,0,0.262
0.23,0,0,0.417
0.46,0,0,0.816
0.69,0,0,1.694
0.92,5,5,3.568
1.15,5,5,4.601
1.38,5,5,5.399
1.61,5,5,6.432
1.84,10,10,8.306
2.07,10,10,9.184
2.3,10,10,9.583
2.53,10,10,9.738
,,,
0,0,0,0.087
0.2,0,0,0.174
0.4,0,0,0.435
0.6,0,0,1.13
0.8,4,4,2.957
1,4,4,3.739
1.2,4,4,4.261
1.4,4,4,5.043
1.6,8,8,6.87
1.8,8,8,7.565
2,8,8,7.826
2.2,8,8,7.913
,,,
0,0,0,1.46
0.06,0,0,1.519
0.12,0,0,1.638
0.18,2,2,1.822
0.24,2,2,2
0.3,2,2,2.178
0.36,4,4,2.362
0.42,4,4,2.481
0.48,4,4,2.54
,,,
0,0,0,0.005
0.26,0,0,0.012
0.52,0,0,0.035
0.78,0,0,0.107
1.04,0,0,0.326
1.3,0,0,0.991
1.56,4,4,3.014
1.82,4,4,3.686
2.08,4,4,3.928
2.34,4,4,4.072
2.6,4,4,4.314
2.86,4,4,4.986
3.12,8,8,7.009
3.38,8,8,7.674
3.64,8,8,7.893
3.9,8,8,7.965
4.16,8,8,7.988
4.42,8,8,7.995
,,,
0,0,0,0.987
0.18,0,0,1.343
0.36,0,0,2.182
0.54,5,5,3.806
0.72,5,5,5
0.9,5,5,6.194
1.08,10,10,7.818
1.26,10,10,8.657
1.44,10,10,9.013
,,,
0,0,0,0.441
0.09,0,0,0.53
0.18,0,0,0.726
0.27,0,0,1.07
0.36,0,0,1.63
0.45,0,0,2.52
0.54,6,6,3.92
0.63,6,6,4.9
0.72,6,6,5.656
0.81,6,6,6.344
0.9,6,6,7.1
0.99,6,6,8.08
1.08,12,12,9.48
1.17,12,12,10.37
1.26,12,12,10.93
1.35,12,12,11.274
1.44,12,12,11.47
1.53,12,12,11.559
,,,
0,0,0,0.294
0.15,0,0,0.353
0.3,0,0,0.484
0.45,0,0,0.713
0.6,0,0,1.087
0.75,0,0,1.68
0.9,4,4,2.614
1.05,4,4,3.267
1.2,4,4,3.771
1.35,4,4,4.229
1.5,4,4,4.733
1.65,4,4,5.386
1.8,8,8,6.32
1.95,8,8,6.913
2.1,8,8,7.287
2.25,8,8,7.516
2.4,8,8,7.647
2.55,8,8,7.706
,,,
0,0,0,1.097
0.15,0,0,1.372
0.3,0,0,1.989
0.45,0,0,3.103
0.6,7,7,4.994
0.75,7,7,6.383
0.9,7,7,7.617
1.05,7,7,9.006
1.2,14,14,10.897
1.35,14,14,12.011
1.5,14,14,12.628
1.65,14,14,12.903
,,,
0,0,0,0.224
0.25,0,0,0.412
0.5,0,0,0.947
0.75,3,3,2.277
1,3,3,3
1.25,3,3,3.723
1.5,6,6,5.053
1.75,6,6,5.588
2,6,6,5.776
,,,
0,0,0,0.078
0.14,0,0,0.124
0.28,0,0,0.243
0.42,0,0,0.506
0.56,0,0,1.07
0.7,0,0,2.268
0.84,7,7,4.81
0.98,7,7,6.054
1.12,7,7,6.737
1.26,7,7,7.263
1.4,7,7,7.946
1.54,7,7,9.19
1.68,14,14,11.732
1.82,14,14,12.93
1.96,14,14,13.494
2.1,14,14,13.757
2.24,14,14,13.876
2.38,14,14,13.922
,,,
0,0,0,0.275
0.21,0,0,0.521
0.42,0,0,1.232
0.63,4,4,3.043
0.84,4,4,4
1.05,4,4,4.957
1.26,8,8,6.768
1.47,8,8,7.479
1.68,8,8,7.725
,,,
0,0,0,0.322
0.13,0,0,0.486
0.26,0,0,0.899
0.39,0,0,1.772
0.52,5,5,3.55
0.65,5,5,4.587
0.78,5,5,5.413
0.91,5,5,6.45
1.04,10,10,8.228
1.17,10,10,9.101
1.3,10,10,9.514
1.43,10,10,9.678
,,,
0,0,0,0.169
0.12,0,0,0.219
0.24,0,0,0.332
0.36,0,0,0.542
0.48,0,0,0.91
0.6,0,0,1.543
0.72,4,4,2.626
0.84,4,4,3.309
0.96,4,4,3.79
1.08,4,4,4.21
1.2,4,4,4.691
1.32,4,4,5.374
1.44,8,8,6.457
1.56,8,8,7.09
1.68,8,8,7.458
1.8,8,8,7.668
1.92,8,8,7.781
2.04,8,8,7.831
,,,
0,0,0,1.116
0.2,0,0,1.612
0.4,0,0,2.824
0.6,7,7,5.292
0.8,7,7,7
1,7,7,8.708
1.2,14,14,11.176
1.4,14,14,12.388
1.6,14,14,12.884
,,,
0,0,0,0.119
0.14,0,0,0.19
0.28,0,0,0.373
0.42,0,0,0.777
0.56,0,0,1.641
0.7,5,5,3.478
0.84,5,5,4.413
0.98,5,5,5
1.12,5,5,5.587
1.26,5,5,6.522
1.4,10,10,8.359
1.54,10,10,9.223
1.68,10,10,9.627
1.82,10,10,9.81
1.96,10,10,9.881
,,,
0,0,0,1.557
0.18,0,0,2.117
0.36,4,4,3.44
0.54,4,4,4.56
0.72,8,8,5.883
0.9,8,8,6.443
,,,
0,0,0,2.919
0.05,0,0,2.985
0.1,0,0,3.118
0.15,0,0,3.321
0.2,4,4,3.598
0.25,4,4,3.867
0.3,4,4,4.133
0.35,4,4,4.402
0.4,8,8,4.679
0.45,8,8,4.882
0.5,8,8,5.015
0.55,8,8,5.081
,,,
0,0,0,0.119
0.21,0,0,0.19
0.42,0,0,0.373
0.63,0,0,0.777
0.84,0,0,1.641
1.05,5,5,3.478
1.26,5,5,4.413
1.47,5,5,5
1.68,5,5,5.587
1.89,5,5,6.522
2.1,10,10,8.359
2.31,10,10,9.223
2.52,10,10,9.627
2.73,10,10,9.81
2.94,10,10,9.881
,,,
0,0,0,0.083
0.24,0,0,0.147
0.48,0,0,0.326
0.72,1,1,0.757
0.96,1,1,1
1.2,1,1,1.243
1.44,2,2,1.674
1.68,2,2,1.853
1.92,2,2,1.917
,,,
0,0,0,0.082
0.19,0,0,0.157
0.38,0,0,0.372
0.57,0,0,0.923
0.76,0,0,2.308
0.95,8,8,5.775
1.14,8,8,7.233
1.33,8,8,8
1.52,8,8,8.767
1.71,8,8,10.225
1.9,16,16,13.692
2.09,16,16,15.077
2.28,16,16,15.628
2.47,16,16,15.843
2.66,16,16,15.918
,,,
0,0,0,0.199
0.13,0,0,0.236
0.26,0,0,0.317
0.39,0,0,0.459
0.52,0,0,0.686
0.65,0,0,1.042
0.78,0,0,1.593
0.91,0,0,2.444
1.04,6,6,3.754
1.17,6,6,4.642
1.3,6,6,5.276
1.43,6,6,5.773
1.56,6,6,6.227
1.69,6,6,6.724
1.82,6,6,7.358
1.95,6,6,8.246
2.08,12,12,9.556
2.21,12,12,10.407
2.34,12,12,10.958
2.47,12,12,11.314
2.6,12,12,11.541
2.73,12,12,11.683
2.86,12,12,11.764
2.99,12,12,11.801
,,,
0,0,0,3.97
0.13,6,6,6
0.26,12,12,8.03
,,,
0,0,0,0.388
0.06,0,0,0.416
0.12,0,0,0.475
0.18,0,0,0.568
0.24,0,0,0.703
0.3,0,0,0.889
0.36,0,0,1.14
0.42,0,0,1.473
0.48,3,3,1.915
0.54,3,3,2.277
0.6,3,3,2.586
0.66,3,3,2.865
0.72,3,3,3.135
0.78,3,3,3.414
0.84,3,3,3.723
0.9,3,3,4.085
0.96,6,6,4.527
1.02,6,6,4.86
1.08,6,6,5.111
1.14,6,6,5.297
1.2,6,6,5.432
1.26,6,6,5.525
1.32,6,6,5.584
1.38,6,6,5.612
,,,
0,0,0,0.018
0.15,0,0,0.028
0.3,0,0,0.053
0.45,0,0,0.109
0.6,0,0,0.226
0.75,0,0,0.47
0.9,0,0,0.979
1.05,3,3,2.039
1.2,3,3,2.557
1.35,3,3,2.827
1.5,3,3,3
1.65,3,3,3.173
1.8,3,3,3.443
1.95,3,3,3.961
2.1,6,6,5.021
2.25,6,6,5.53
2.4,6,6,5.774
2.55,6,6,5.891
2.7,6,6,5.947
2.85,6,6,5.972
3,6,6,5.982
,,,
0,0,0,0.347
0.21,0,0,0.552
0.42,0,0,1.085
0.63,3,3,2.262
0.84,3,3,3
1.05,3,3,3.738
1.26,6,6,4.915
1.47,6,6,5.448
1.68,6,6,5.653
,,,
0,0,0,0.031
0.25,0,0,0.053
0.5,0,0,0.111
0.75,0,0,0.246
1,0,0,0.552
1.25,0,0,1.24
1.5,4,4,2.791
