current_training_input_set
0.237
0.387
0.61
0.391
0.701
0.275
0.682
0.701
0.682
0.391
0.275
0.705
0.304
0.464
0.818
0.464
0.304
0.705
0.818
0.705
0.818
0.304
0.464
0.464
0.705
0.818
0.304
0.661
0.61
0.237
0.387
0.237
0.387
0.661
0.61
0.61
0.387
0.237
0.661
0.705
0.304
0.464
0.818
0.818
0.464
0.304
0.705
0.304
0.818
0.464
0.705
0.701
0.682
0.391
0.275
0.157
0.681
0.72
0.5
0.16
0.591
0.359
0.696
0.718
0.486
0.317
0.69
0.696
0.359
0.591
0.16
0.696
0.591
0.16
0.359
0.681
0.72
0.157
0.5
0.681
0.72
0.5
0.157
0.681
0.157
0.5
0.72
0.5
0.681
0.157
0.72
0.69
0.718
0.317
0.486
0.317
0.718
0.69
0.486
0.486
0.718
0.69
0.317
0.681
0.5
0.157
0.72
0.72
0.681
0.157
0.5
0.72
0.157
0.681
0.5
0.16
0.696
0.359
0.591
0.251
0.41
0.753
0.647
0.232
0.682
0.592
0.428
0.673
0.524
0.263
0.73
0.232
0.682
0.592
0.428
0.682
0.592
0.232
0.428
0.251
0.753
0.41
0.647
0.251
0.753
0.41
0.647
0.41
0.647
0.753
0.251
0.753
0.41
0.251
0.647
0.73
0.263
0.524
0.673
0.263
0.524
0.673
0.73
0.73
0.673
0.263
0.524
0.251
0.753
0.41
0.647
0.753
0.647
0.41
0.251
0.647
0.41
0.753
0.251
0.232
0.592
0.682
0.428
0.157
0.681
0.72
0.5
0.591
0.16
0.696
0.359
0.718
0.486
0.69
0.317
0.359
0.16
0.696
0.591
0.359
0.591
0.696
0.16
0.5
0.681
0.157
0.72
0.5
0.681
0.72
0.157
0.5
0.681
0.72
0.157
0.72
0.5
0.157
0.681
0.317
0.69
0.718
0.486
0.69
0.317
0.486
0.718
0.69
0.718
0.317
0.486
0.681
0.5
0.72
0.157
0.681
0.72
0.5
0.157
0.72
0.157
0.5
0.681
0.591
0.696
0.16
0.359
0.521
0.246
0.681
0.761
0.288
0.65
0.726
0.362
0.747
0.184
0.469
0.5
0.65
0.726
0.362
0.288
0.362
0.288
0.726
0.65
0.761
0.521
0.681
0.246
0.521
0.246
0.761
0.681
0.521
0.246
0.681
0.761
0.521
0.761
0.681
0.246
0.184
0.5
0.747
0.469
0.747
0.469
0.5
0.184
0.5
0.184
0.747
0.469
0.681
0.246
0.761
0.521
0.246
0.521
0.681
0.761
0.246
0.521
0.761
0.681
0.288
0.362
0.65
0.726
0.753
0.251
0.647
0.41
0.682
0.232
0.592
0.428
0.73
0.263
0.673
0.524
0.428
0.592
0.682
0.232
0.428
0.592
0.232
0.682
0.647
0.753
0.251
0.41
0.41
0.251
0.753
0.647
0.647
0.753
0.41
0.251
0.647
0.251
0.41
0.753
0.524
0.263
0.673
0.73
0.673
0.524
0.73
0.263
0.263
0.673
0.524
0.73
0.41
0.647
0.251
0.753
0.647
0.753
0.251
0.41
0.251
0.753
0.41
0.647
0.428
0.592
0.682
0.232
0.681
0.5
0.157
0.72
0.359
0.696
0.16
0.591
0.718
0.69
0.317
0.486
0.696
0.591
0.359
0.16
0.16
0.591
0.359
0.696
0.681
0.72
0.5
0.157
0.72
0.5
0.157
0.681
0.681
0.157
0.5
0.72
0.72
0.681
0.5
0.157
0.486
0.69
0.317
0.718
0.718
0.486
0.69
0.317
0.718
0.317
0.486
0.69
0.72
0.157
0.5
0.681
0.681
0.5
0.157
0.72
0.157
0.5
0.72
0.681
0.359
0.696
0.16
0.591
0.264
0.727
0.639
0.49
0.16
0.669
0.658
0.208
0.52
0.318
0.66
0.755
0.658
0.208
0.669
0.16
0.658
0.16
0.669
0.208
0.49
0.727
0.639
0.264
0.49
0.639
0.727
0.264
0.49
0.639
0.727
0.264
0.727
0.49
0.264
0.639
0.318
0.66
0.755
0.52
0.52
0.318
0.755
0.66
0.66
0.755
0.318
0.52
0.727
0.49
0.264
0.639
0.49
0.264
0.639
0.727
0.49
0.727
0.639
0.264
0.16
0.669
0.658
0.208
0.705
0.304
0.818
0.464
0.701
0.275
0.391
0.682
0.387
0.61
0.661
0.237
0.701
0.391
0.275
0.682
