current_training_input_set
0.563
0.124
0.286
0.1
0.795
0.512
0.266
0.795
0.512
0.1
0.266
0.1
0.795
0.266
0.512
0.795
0.266
0.1
0.512
0.811
0.338
0.62
0.269
0.811
0.338
0.62
0.269
0.338
0.62
0.269
0.811
0.1
0.512
0.795
0.266
0.512
0.1
0.795
0.266
0.266
0.512
0.1
0.795
0.676
0.124
0.563
0.286
0.842
0.174
0.588
0.311
0.137
0.561
0.139
0.716
0.243
0.899
0.918
0.521
0.716
0.561
0.137
0.139
0.137
0.561
0.139
0.716
0.311
0.588
0.174
0.842
0.588
0.311
0.842
0.174
0.588
0.311
0.174
0.842
0.842
0.588
0.174
0.311
0.918
0.521
0.243
0.899
0.918
0.899
0.243
0.521
0.918
0.243
0.899
0.521
0.311
0.588
0.174
0.842
0.588
0.842
0.311
0.174
0.842
0.174
0.588
0.311
0.561
0.139
0.716
0.137
0.666
0.147
0.77
0.34
0.145
0.195
0.757
0.629
0.667
0.81
0.352
0.25
0.757
0.195
0.145
0.629
0.145
0.629
0.757
0.195
0.77
0.147
0.34
0.666
0.147
0.34
0.666
0.77
0.147
0.666
0.34
0.77
0.34
0.77
0.147
0.666
0.81
0.667
0.25
0.352
0.81
0.352
0.25
0.667
0.352
0.81
0.667
0.25
0.666
0.77
0.34
0.147
0.77
0.147
0.34
0.666
0.666
0.147
0.34
0.77
0.195
0.757
0.629
0.145
0.179
0.587
0.696
0.116
0.733
0.117
0.501
0.183
0.736
0.214
0.348
0.672
0.117
0.733
0.501
0.183
0.733
0.183
0.117
0.501
0.696
0.116
0.587
0.179
0.116
0.179
0.587
0.696
0.587
0.116
0.696
0.179
0.116
0.179
0.587
0.696
0.672
0.214
0.348
0.736
0.736
0.672
0.348
0.214
0.736
0.672
0.214
0.348
0.116
0.587
0.696
0.179
0.587
0.696
0.116
0.179
0.179
0.116
0.696
0.587
0.733
0.117
0.183
0.501
0.588
0.174
0.311
0.842
0.561
0.716
0.139
0.137
0.243
0.918
0.521
0.899
0.137
0.716
0.561
0.139
0.561
0.137
0.139
0.716
0.174
0.588
0.311
0.842
0.311
0.588
0.842
0.174
0.311
0.174
0.588
0.842
0.588
0.842
0.174
0.311
0.899
0.918
0.521
0.243
0.918
0.243
0.521
0.899
0.243
0.918
0.899
0.521
0.588
0.842
0.174
0.311
0.174
0.311
0.588
0.842
0.174
0.311
0.588
0.842
0.137
0.139
0.561
0.716
0.762
0.249
0.528
0.182
0.094
0.706
0.248
0.493
0.709
0.159
0.732
0.32
0.493
0.706
0.094
0.248
0.248
0.094
0.493
0.706
0.182
0.762
0.249
0.528
0.762
0.249
0.528
0.182
0.528
0.182
0.762
0.249
0.249
0.528
0.762
0.182
0.709
0.32
0.159
0.732
0.709
0.732
0.32
0.159
0.159
0.732
0.709
0.32
0.249
0.762
0.528
0.182
0.249
0.182
0.762
0.528
0.249
0.182
0.528
0.762
0.248
0.094
0.706
0.493
0.666
0.77
0.147
0.34
0.629
0.195
0.145
0.757
0.352
0.81
0.667
0.25
0.629
0.195
0.145
0.757
0.145
0.195
0.629
0.757
0.77
0.147
0.666
0.34
0.147
0.77
0.666
0.34
0.147
0.77
0.666
0.34
0.147
0.77
0.34
0.666
0.667
0.25
0.352
0.81
0.352
0.667
0.25
0.81
0.81
0.25
0.352
0.667
0.34
0.77
0.666
0.147
0.77
0.147
0.666
0.34
0.666
0.34
0.147
0.77
0.757
0.195
0.145
0.629
0.249
0.762
0.528
0.182
0.094
0.248
0.706
0.493
0.732
0.32
0.159
0.709
0.248
0.094
0.706
0.493
0.094
0.248
0.706
0.493
0.762
0.182
0.249
0.528
0.182
0.762
0.528
0.249
0.249
0.762
0.182
0.528
0.528
0.249
0.182
0.762
0.159
0.709
0.732
0.32
0.732
0.709
0.32
0.159
0.732
0.159
0.709
0.32
0.182
0.528
0.762
0.249
0.249
0.182
0.528
0.762
0.528
0.249
0.182
0.762
0.706
0.493
0.094
0.248
0.512
0.795
0.1
0.266
0.563
0.676
0.124
0.286
0.811
0.338
0.62
0.269
0.676
0.563
0.286
0.124
0.676
0.286
0.563
0.124
0.266
0.512
0.795
0.1
0.266
0.512
0.795
0.1
0.795
0.512
0.266
0.1
0.795
0.1
0.266
0.512
0.62
0.338
0.811
0.269
0.811
0.269
0.62
0.338
0.811
0.338
0.269
0.62
0.266
0.795
0.512
0.1
0.512
0.266
0.1
0.795
0.512
0.1
0.795
0.266
0.563
0.286
0.676
0.124
0.34
0.77
0.147
0.666
0.195
0.145
0.757
0.629
0.667
0.81
0.352
0.25
0.145
0.757
0.629
0.195
0.195
0.757
0.145
0.629
0.666
0.34
0.77
0.147
0.666
0.34
0.77
0.147
0.77
0.147
0.34
0.666
0.666
0.77
0.34
0.147
0.25
0.81
0.667
0.352
0.25
0.352
0.81
0.667
0.25
0.352
0.667
0.81
0.666
0.34
0.147
0.77
0.666
0.77
0.147
0.34
0.666
0.77
0.34
0.147
0.757
0.145
0.629
0.195
0.789
0.272
0.239
0.646
0.261
0.505
0.166
0.666
0.229
0.84
0.22
0.82
0.261
0.666
0.166
0.505
0.166
0.505
0.261
0.666
0.646
0.272
0.239
0.789
0.272
0.646
0.239
0.789
0.789
0.239
0.272
0.646
0.272
0.646
0.789
0.239
0.22
0.229
0.84
0.82
0.82
0.229
0.84
0.22
0.82
0.84
0.229
0.22
0.646
0.239
0.789
0.272
0.646
0.272
0.789
0.239
0.646
0.789
0.272
0.239
0.166
0.666
0.261
0.505
0.666
0.77
0.34
0.147
0.195
0.629
0.757
0.145
0.667
0.25
0.352
0.81
0.629
0.757
0.145
0.195
0.629
0.757
0.145
0.195
0.77
0.147
0.34
0.666
0.77
0.147
0.666
0.34
0.147
0.34
0.77
0.666
0.666
0.34
0.77
0.147
0.352
0.25
0.667
0.81
0.352
0.667
0.25
0.81
0.352
0.81
0.667
0.25
0.77
0.34
0.147
0.666
0.34
0.77
0.147
0.666
0.77
0.666
0.147
0.34
0.757
0.145
0.629
0.195
0.174
0.842
0.588
0.311
0.716
0.139
0.561
0.137
0.918
