0.000	0.000	0.000	0.817
0.170	0.000	0.000	1.408
0.340	0.000	0.000	3.015
0.510	9.000	9.000	6.802
0.680	9.000	9.000	9.000
0.850	9.000	9.000	11.198
1.020	18.000	18.000	14.985
1.190	18.000	18.000	16.592
1.360	18.000	18.000	17.183

0.000	0.000	0.000	0.390
0.130	0.000	0.000	0.463
0.260	0.000	0.000	0.623
0.390	0.000	0.000	0.900
0.520	0.000	0.000	1.345
0.650	3.000	3.000	2.044
0.780	3.000	3.000	2.563
0.910	3.000	3.000	3.000
1.040	3.000	3.000	3.437
1.170	3.000	3.000	3.956
1.300	6.000	6.000	4.655
1.430	6.000	6.000	5.100
1.560	6.000	6.000	5.377
1.690	6.000	6.000	5.537
1.820	6.000	6.000	5.610

0.000	0.000	0.000	1.064
0.190	0.000	0.000	1.491
0.380	0.000	0.000	2.515
0.570	6.000	6.000	4.549
0.760	6.000	6.000	6.000
0.950	6.000	6.000	7.451
1.140	12.000	12.000	9.485
1.330	12.000	12.000	10.509
1.520	12.000	12.000	10.936

0.000	0.000	0.000	0.316
0.210	0.000	0.000	0.387
0.420	0.000	0.000	0.544
0.630	0.000	0.000	0.822
0.840	0.000	0.000	1.284
1.050	3.000	3.000	2.032
1.260	3.000	3.000	2.565
1.470	3.000	3.000	3.000
1.680	3.000	3.000	3.435
1.890	3.000	3.000	3.968
2.100	6.000	6.000	4.716
2.310	6.000	6.000	5.178
2.520	6.000	6.000	5.456
2.730	6.000	6.000	5.613
2.940	6.000	6.000	5.684

0.000	0.000	0.000	1.121
0.090	0.000	0.000	1.170
0.180	0.000	0.000	1.272
0.270	0.000	0.000	1.429
0.360	0.000	0.000	1.649
0.450	0.000	0.000	1.942
0.540	0.000	0.000	2.320
0.630	4.000	4.000	2.801
0.720	4.000	4.000	3.229
0.810	4.000	4.000	3.623
0.900	4.000	4.000	4.000
0.990	4.000	4.000	4.377
1.080	4.000	4.000	4.771
1.170	4.000	4.000	5.199
1.260	8.000	8.000	5.680
1.350	8.000	8.000	6.058
1.440	8.000	8.000	6.351
1.530	8.000	8.000	6.571
1.620	8.000	8.000	6.728
1.710	8.000	8.000	6.830
1.800	8.000	8.000	6.879

0.000	0.000	0.000	0.157
0.230	0.000	0.000	0.250
0.460	0.000	0.000	0.489
0.690	0.000	0.000	1.016
0.920	3.000	3.000	2.141
1.150	3.000	3.000	2.761
1.380	3.000	3.000	3.239
1.610	3.000	3.000	3.859
1.840	6.000	6.000	4.984
2.070	6.000	6.000	5.511
2.300	6.000	6.000	5.750
2.530	6.000	6.000	5.843

0.000	0.000	0.000	1.442
0.050	0.000	0.000	1.532
0.100	0.000	0.000	1.718
0.150	0.000	0.000	2.012
0.200	3.000	3.000	2.431
0.250	3.000	3.000	2.814
0.300	3.000	3.000	3.186
0.350	3.000	3.000	3.569
0.400	6.000	6.000	3.988
0.450	6.000	6.000	4.282
0.500	6.000	6.000	4.468
0.550	6.000	6.000	4.558

0.000	0.000	0.000	0.212
0.120	0.000	0.000	0.273
0.240	0.000	0.000	0.415
0.360	0.000	0.000	0.677
0.480	0.000	0.000	1.137
0.600	0.000	0.000	1.929
0.720	5.000	5.000	3.283
0.840	5.000	5.000	4.136
0.960	5.000	5.000	4.738
