0.817,1.408,3.015,6.802,9,11.198,14.985,16.592,17.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,0.463,0.623,0.9,1.345,2.044,2.563,3,3.437,3.956,4.655,5.1,5.377,5.537,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.064,1.491,2.515,4.549,6,7.451,9.485,10.509,10.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.316,0.387,0.544,0.822,1.284,2.032,2.565,3,3.435,3.968,4.716,5.178,5.456,5.613,5.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.121,1.17,1.272,1.429,1.649,1.942,2.32,2.801,3.229,3.623,4,4.377,4.771,5.199,5.68,6.058,6.351,6.571,6.728,6.83,6.879,0,0,0,0,0,0,0,0,0
0.157,0.25,0.489,1.016,2.141,2.761,3.239,3.859,4.984,5.511,5.75,5.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.442,1.532,1.718,2.012,2.431,2.814,3.186,3.569,3.988,4.282,4.468,4.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.212,0.273,0.415,0.677,1.137,1.929,3.283,4.136,4.738,5.262,5.864,6.717,8.071,8.863,9.323,9.585,9.727,9.788,0,0,0,0,0,0,0,0,0,0,0,0
0.975,1.172,1.607,2.368,3.607,4.565,5.435,6.393,7.632,8.393,8.828,9.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,0.586,1.145,2.375,4.995,6.441,7.559,9.005,11.625,12.855,13.414,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.359,0.552,1.042,2.092,4.267,5.51,6.49,7.733,9.908,10.958,11.448,11.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,0.048,0.113,0.278,0.693,1.726,4.3,5.355,5.834,6.166,6.645,7.7,10.274,11.307,11.722,11.887,11.952,11.975,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.11,0.253,0.609,1.476,3.584,4.501,5,5.499,6.416,8.524,9.391,9.747,9.89,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.325,0.466,0.81,1.508,2.862,5.463,6.958,8,9.042,10.537,13.138,14.492,15.19,15.534,15.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.199,0.26,0.398,0.658,1.116,1.912,3.287,4.143,4.741,5.259,5.857,6.713,8.088,8.884,9.342,9.602,9.74,9.801,0,0,0,0,0,0,0,0,0,0,0,0
0.174,0.243,0.408,0.735,1.354,2.51,4.663,5.889,6.673,7.327,8.111,9.337,11.49,12.646,13.265,13.592,13.757,13.826,0,0,0,0,0,0,0,0,0,0,0,0
0.216,0.255,0.341,0.49,0.727,1.098,1.67,2.546,3.157,3.614,4,4.386,4.843,5.454,6.33,6.902,7.273,7.51,7.659,7.745,7.784,0,0,0,0,0,0,0,0,0
0.351,0.472,0.755,1.298,2.287,4.064,5.174,6,6.826,7.936,9.713,10.702,11.245,11.528,11.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,0.296,0.445,0.722,1.203,2.027,2.574,3,3.426,3.973,4.797,5.278,5.555,5.704,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.256,0.538,1.412,3.844,5,6.156,8.588,9.462,9.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.199,0.236,0.317,0.459,0.686,1.042,1.593,2.444,3.754,4.642,5.276,5.773,6.227,6.724,7.358,8.246,9.556,10.407,10.958,11.314,11.541,11.683,11.764,11.801,0,0,0,0,0,0
0.675,0.75,0.908,1.168,1.557,2.118,2.582,3,3.418,3.882,4.443,4.832,5.092,5.25,5.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0.02,0.037,0.075,0.153,0.313,0.642,1.316,2.697,3.378,3.724,3.922,4.078,4.276,4.622,5.303,6.684,7.358,7.687,7.847,7.925,7.963,7.98,7.987,0,0,0,0,0,0
0.205,0.279,0.454,0.791,1.414,1.826,2.174,2.586,3.209,3.546,3.721,3.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.147,7,8.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.243,3.505,6.738,9.262,12.495,13.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172,0.25,0.442,0.836,1.611,3.12,6.051,7.639,8.606,9.394,10.361,11.949,14.88,16.389,17.164,17.558,17.75,17.828,0,0,0,0,0,0,0,0,0,0,0,0
0.83,0.905,1.061,1.313,1.683,2.204,2.924,3.907,4.701,5.378,6,6.622,7.299,8.093,9.076,9.796,10.317,10.687,10.939,11.095,11.17,0,0,0,0,0,0,0,0,0
0.315,0.468,0.847,1.153,1.532,1.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.119,0.294,0.758,1.964,5.096,6.361,7,7.639,8.904,12.036,13.242,13.706,13.881,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.388,0.513,0.802,1.349,2.33,4.058,5.164,6,6.836,7.942,9.67,10.651,11.198,11.487,11.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.94,4.947,4.96,4.98,5,5.02,5.04,5.053,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.078,0.142,0.32,0.758,1,1.242,1.68,1.858,1.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.63,2,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.48,2.451,5.029,6.971,9.549,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.452,1.555,1.769,2.109,2.598,3.272,4.179,4.957,5.66,6.34,7.043,7.821,8.728,9.402,9.891,10.231,10.445,10.548,0,0,0,0,0,0,0,0,0,0,0,0
0.097,0.132,0.215,0.374,0.669,1.204,2.173,3.924,4.928,5.546,6,6.454,7.072,8.076,9.827,10.796,11.331,11.626,11.785,11.868,11.903,0,0,0,0,0,0,0,0,0
0.13,0.19,0.338,0.642,1.243,2.418,4.712,5.947,6.696,7.304,8.053,9.288,11.582,12.757,13.358,13.662,13.81,13.87,0,0,0,0,0,0,0,0,0,0,0,0
0.149,0.409,1.383,4.766,6,7.234,10.617,11.591,11.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.095,0.152,0.298,0.621,1.313,2.783,3.53,4,4.47,5.217,6.687,7.379,7.702,7.848,7.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136,0.332,1.006,3.13,4,4.87,6.994,7.668,7.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.002,0.005,0.015,0.048,0.15,0.467,1.457,4.544,5.535,5.855,5.967,6.033,6.145,6.465,7.456,10.543,11.533,11.85,11.952,11.985,11.995,11.998,11.999,0,0,0,0,0,0
1.116,1.612,2.824,5.292,7,8.708,11.176,12.388,12.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.933,1.082,1.405,1.952,2.812,4.121,5.13,6,6.87,7.879,9.188,10.048,10.595,10.918,11.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.373,0.518,0.864,1.545,2.827,3.654,4.346,5.173,6.455,7.136,7.482,7.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.099,1.373,1.991,3.107,4,4.893,6.009,6.627,6.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.141,4.311,4.658,5.195,5.946,6.653,7.347,8.054,8.805,9.342,9.689,9.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.716,3.212,7.505,10.495,14.788,16.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603,0.7,0.909,1.262,1.818,2.665,3.938,4.882,5.646,6.354,7.118,8.062,9.335,10.182,10.738,11.091,11.3,11.397,0,0,0,0,0,0,0,0,0,0,0,0
4.843,5,5.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.023,0.083,0.3,1.085,3.923,4.723,5,5.277,6.077,8.915,9.7,9.917,9.977,9.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.266,1.404,1.695,2.17,2.882,3.908,5.359,6.522,7.525,8.475,9.478,10.641,12.092,13.118,13.83,14.305,14.596,14.734,0,0,0,0,0,0,0,0,0,0,0,0
0.273,0.372,0.604,1.054,1.883,3.39,4.318,5,5.682,6.61,8.117,8.946,9.396,9.628,9.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.469,0.677,1.186,2.222,4.246,5.491,6.509,7.754,9.778,10.814,11.323,11.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
