subject_target_data
0.334
0.332
0.629
0.63
0.604
0.383
0.685
0.648
0.63
0.332
0.334
0.629
0.604
0.648
0.383
0.685
0.439
0.492
0.702
0.237
0.787
0.554
0.415
0.664
0.237
0.702
0.439
0.492
0.415
0.787
0.554
0.664
0.629
0.332
0.334
0.63
0.648
0.604
0.383
0.685
0.63
0.334
0.332
0.629
0.685
0.383
0.604
0.648
0.623
0.362
0.537
0.173
0.459
0.656
0.782
0.242
0.173
0.623
0.537
0.362
0.782
0.459
0.656
0.242
0.439
0.237
0.702
0.492
0.787
0.415
0.554
0.664
0.492
0.439
0.237
0.702
0.554
0.415
0.787
0.664
0.678
0.277
0.248
0.522
0.38
0.29
0.737
0.525
0.248
0.277
0.522
0.678
0.525
0.29
0.737
0.38
0.277
0.522
0.248
0.678
0.38
0.29
0.525
0.737
0.678
0.248
0.277
0.522
0.29
0.737
0.38
0.525
0.805
0.274
0.374
0.604
0.325
0.416
0.641
0.615
0.805
0.374
0.604
0.274
0.416
0.615
0.641
0.325
0.805
0.374
0.274
0.604
0.416
0.641
0.325
0.615
0.274
0.374
0.604
0.805
0.615
0.325
0.416
0.641
0.274
0.604
0.374
0.805
0.615
0.325
0.416
0.641
0.274
0.374
0.604
0.805
0.615
0.325
0.641
0.416
0.537
0.362
0.623
0.173
0.656
0.459
0.782
0.242
0.537
0.173
0.623
0.362
0.782
0.242
0.656
0.459
0.702
0.237
0.492
0.439
0.415
0.664
0.554
0.787
0.492
0.439
0.702
0.237
0.787
0.554
0.664
0.415
0.173
0.537
0.623
0.362
0.782
0.242
0.459
0.656
0.537
0.173
0.362
0.623
0.459
0.242
0.656
0.782
0.274
0.745
0.645
0.388
0.78
0.403
0.311
0.692
0.274
0.388
0.745
0.645
0.78
0.692
0.403
0.311
0.678
0.522
0.248
0.277
0.29
0.38
0.737
0.525
0.248
0.522
0.277
0.678
0.737
0.29
0.525
0.38
0.374
0.604
0.805
0.274
0.416
0.615
0.641
0.325
0.374
0.274
0.604
0.805
0.641
0.615
0.325
0.416
0.332
0.63
0.334
0.629
0.383
0.648
0.685
0.604
0.332
0.629
0.334
0.63
0.383
0.648
0.685
0.604
0.805
0.374
0.274
0.604
0.641
0.416
0.325
0.615
0.604
0.805
0.274
0.374
0.325
0.615
0.641
0.416
0.492
0.237
0.439
0.702
0.415
0.787
0.664
0.554
0.702
0.439
0.237
0.492
0.554
0.415
0.664
0.787
0.522
0.277
0.678
0.248
0.737
0.29
0.525
0.38
0.248
0.678
0.522
0.277
0.29
0.737
0.38
0.525
0.645
0.388
0.274
0.745
0.403
0.78
0.692
0.311
0.745
0.274
0.645
0.388
0.692
0.403
0.311
0.78
0.388
0.274
0.645
0.745
0.692
0.403
0.311
0.78
0.645
0.388
0.274
0.745
0.78
0.311
0.692
0.403
0.604
0.274
0.805
0.374
0.641
0.615
0.416
0.325
0.604
0.374
0.274
0.805
0.325
0.641
0.615
0.416
0.274
0.645
0.745
0.388
0.78
0.403
0.692
0.311
0.274
0.745
0.645
0.388
0.311
0.692
0.403
0.78
0.492
0.237
0.439
0.702
0.664
0.787
0.554
0.415
0.702
0.492
0.439
0.237
0.554
0.787
0.664
0.415
0.362
0.623
0.173
0.537
0.782
0.242
0.459
0.656
0.537
0.173
0.623
0.362
0.242
0.782
0.656
0.459
0.522
0.277
0.678
0.248
0.38
0.525
0.29
0.737
0.277
0.678
0.248
0.522
0.525
0.29
0.737
0.38
0.629
0.334
0.63
0.332
0.383
0.648
0.604
0.685
0.63
0.332
0.334
0.629
0.685
0.648
0.383
0.604
0.537
0.362
0.623
0.173
0.656
0.782
0.459
0.242
0.173
0.537
0.362
0.623
0.782
0.242
0.656
0.459
0.629
0.334
0.63
0.332
0.383
0.648
0.685
0.604
0.332
0.63
0.629
0.334
0.648
0.604
0.685
0.383
0.248
0.678
0.522
0.277
0.737
0.29
0.525
0.38
0.277
0.522
0.248
0.678
0.525
0.737
0.38
0.29
0.745
0.274
0.388
0.645
0.692
0.403
0.311
0.78
0.274
0.645
0.745
0.388
0.78
0.692
0.403
0.311
0.362
0.623
0.537
0.173
0.782
0.459
0.656
0.242
0.623
0.173
0.362
0.537
0.656
0.782
0.459
0.242
0.645
0.745
0.274
0.388
0.311
0.403
0.78
0.692
0.645
0.388
0.274
0.745
0.403
0.692
0.78
0.311
0.63
0.332
0.334
0.629
0.383
0.604
0.648
0.685
0.334
0.629
0.332
0.63
0.685
0.604
0.383
0.648
0.492
0.702
0.439
0.237
0.415
0.664
0.787
0.554
0.492
0.439
0.237
0.702
0.554
0.664
0.415
0.787
