10,700,243.2
10,700,151
10,100,262.5
10,100,150
2,700,243.2
2,700,151
2,100,262.5
2,100,150
2,700,243.2
2,700,151
2,100,262.5
2,100,150
0,0,243.2
0,0,151
0,0,262.5
0,0,150
10,700,186.4
10,700,111
10,100,161.4
10,100,62
2,700,186.4
2,700,111
2,100,161.4
2,100,62
2,700,186.4
2,700,111
2,100,161.4
2,100,62
0,0,186.4
0,0,111
0,0,161.4
0,0,62
10,700,172.1
10,700,108
10,100,178.6
10,100,118
2,700,172.1
2,700,108
2,100,178.6
2,100,118
2,700,172.1
2,700,108
2,100,178.6
2,100,118
0,0,172.1
0,0,108
0,0,178.6
0,0,118
10,700,159.3
10,700,109
10,100,192.5
10,100,117
2,700,159.3
2,700,109
2,100,192.5
2,100,117
2,700,159.3
2,700,109
2,100,192.5
2,100,117
0,0,159.3
0,0,109
0,0,192.5
0,0,117
10,700,211.8
10,700,166
10,100,218.9
10,100,152
2,700,211.8
2,700,166
2,100,218.9
2,100,152
2,700,211.8
2,700,166
2,100,218.9
2,100,152
0,0,211.8
0,0,166
0,0,218.9
0,0,152
10,700,203.9
10,700,121
10,100,234.6
10,100,136
2,700,203.9
2,700,121
2,100,234.6
2,100,136
2,700,203.9
2,700,121
2,100,234.6
2,100,136
0,0,203.9
0,0,121
0,0,234.6
0,0,136
10,700,147.9
10,700,85
10,100,151.1
10,100,128
2,700,147.9
2,700,85
2,100,151.1
2,100,128
2,700,147.9
2,700,85
2,100,151.1
2,100,128
0,0,147.9
0,0,85
0,0,151.1
0,0,128
10,700,121.8
10,700,71
10,100,144.3
10,100,95
2,700,121.8
2,700,71
2,100,144.3
2,100,95
2,700,121.8
2,700,71
2,100,144.3
2,100,95
0,0,121.8
0,0,71
0,0,144.3
0,0,95
10,700,214.6
10,700,120
10,100,220
10,100,114
2,700,214.6
2,700,120
2,100,220
2,100,114
2,700,214.6
2,700,120
2,100,220
2,100,114
0,0,214.6
0,0,120
0,0,220
0,0,114
10,700,212.1
10,700,121
10,100,180.4
10,100,69
2,700,212.1
2,700,121
2,100,180.4
2,100,69
2,700,212.1
2,700,121
2,100,180.4
2,100,69
0,0,212.1
0,0,121
0,0,180.4
0,0,69
