current_training_target_set
0.269
0.604
0.543
0.435
0.605
0.393
0.7
0.205
0.269
0.604
0.543
0.613
0.584
0.703
0.407
0.363
0.559
0.464
0.61
0.407
0.703
0.613
0.584
0.363
0.61
0.464
0.559
0.407
0.584
0.703
0.613
0.61
0.464
0.559
0.363
0.407
0.613
0.703
0.584
0.464
0.363
0.559
0.61
0.703
0.613
0.407
0.584
0.559
0.61
0.363
0.464
0.584
0.703
0.613
0.407
0.61
0.464
0.559
0.363
0.631
0.403
0.538
0.672
0.29
0.519
0.546
0.253
0.538
0.631
0.403
0.672
0.29
0.519
0.253
0.546
0.643
0.489
0.664
0.343
0.41
0.573
0.297
0.592
0.643
0.664
0.489
0.343
0.297
0.41
0.592
0.573
0.403
0.672
0.538
0.631
0.29
0.519
0.546
0.253
0.672
0.631
0.403
0.538
0.29
0.253
0.546
0.519
0.689
0.691
0.509
0.379
0.275
0.678
0.344
0.544
0.691
0.509
0.379
0.689
0.678
0.544
0.344
0.275
0.435
0.7
0.393
0.605
0.269
0.604
0.205
0.543
0.393
0.605
0.7
0.435
0.269
0.205
0.604
0.543
0.703
0.613
0.407
0.584
0.363
0.464
0.559
0.61
0.584
0.703
0.407
0.613
0.61
0.363
0.559
0.464
0.638
0.467
0.474
0.693
0.586
0.444
0.492
0.317
0.474
0.467
0.693
0.638
0.317
0.586
0.492
0.444
0.703
0.407
0.584
0.613
0.61
0.464
0.363
0.559
0.584
0.703
0.613
0.407
0.363
0.464
0.559
0.61
0.664
0.643
0.343
0.489
0.592
0.297
0.573
0.41
0.489
0.664
0.343
0.643
0.573
0.592
0.41
0.297
0.393
0.605
0.435
0.7
0.604
0.205
0.543
0.269
0.393
0.605
0.435
0.7
0.269
0.543
0.205
0.604
0.691
0.689
0.509
0.379
0.678
0.344
0.275
0.544
0.509
0.691
0.379
0.689
0.344
0.678
0.275
0.544
0.379
0.691
0.689
0.509
0.275
0.678
0.344
0.544
0.379
0.691
0.509
0.689
0.275
0.678
0.344
0.544
0.407
0.703
0.584
0.613
0.363
0.559
0.464
0.61
0.407
0.703
0.584
0.613
0.363
0.464
0.559
0.61
0.379
0.509
0.689
0.691
0.678
0.275
0.544
0.344
0.509
0.691
0.379
0.689
0.344
0.544
0.678
0.275
0.489
0.643
0.664
0.343
0.592
0.41
0.573
0.297
0.643
0.489
0.343
0.664
0.297
0.592
0.41
0.573
0.403
0.672
0.631
0.538
0.546
0.519
0.29
0.253
0.672
0.403
0.631
0.538
0.253
0.546
0.519
0.29
0.7
0.605
0.435
0.393
0.205
0.543
0.269
0.604
0.393
0.435
0.7
0.605
0.269
0.543
0.604
0.205
0.638
0.693
0.474
0.467
0.492
0.586
0.317
0.444
0.693
0.474
0.467
0.638
0.492
0.586
0.317
0.444
0.538
0.631
0.672
0.403
0.29
0.253
0.546
0.519
0.538
0.403
0.631
0.672
0.29
0.546
0.519
0.253
0.638
0.467
0.693
0.474
0.492
0.444
0.317
0.586
0.693
0.474
0.638
0.467
0.317
0.492
0.444
0.586
0.393
0.435
0.605
0.7
0.269
0.543
0.604
0.205
0.7
0.393
0.435
0.605
0.543
0.205
0.604
0.269
0.509
0.689
0.691
0.379
0.275
0.544
0.678
0.344
