current_training_target_set
0.31
0.692
0.829
0.596
0.313
0.299
0.759
0.754
0.635
0.29
0.295
0.251
0.241
0.707
0.625
0.635
0.754
0.295
0.29
0.625
0.251
0.241
0.707
0.381
1.031
0.247
0.733
0.379
0.68
0.733
0.201
0.247
0.733
1.031
0.381
0.733
0.379
0.201
0.68
0.445
0.193
0.746
0.406
0.374
0.625
0.753
0.31
0.406
0.193
0.445
0.746
0.31
0.753
0.625
0.374
0.184
0.751
0.658
0.323
0.764
0.188
0.25
0.791
0.751
0.323
0.658
0.184
0.25
0.188
0.791
0.764
0.746
0.406
0.445
0.193
0.31
0.753
0.374
0.625
0.193
0.406
0.445
0.746
0.753
0.625
0.31
0.374
0.796
0.758
0.618
0.291
0.657
0.291
0.177
0.709
0.796
0.291
0.758
0.618
0.709
0.657
0.177
0.291
1.031
0.381
0.247
0.733
0.379
0.68
0.201
0.733
0.381
0.247
0.733
1.031
0.201
0.68
0.733
0.379
0.29
0.635
0.295
0.754
0.707
0.241
0.251
0.625
0.29
0.295
0.635
0.754
0.251
0.241
0.625
0.707
0.29
0.295
0.754
0.635
0.707
0.251
0.241
0.625
0.29
0.635
0.295
0.754
0.251
0.241
0.707
0.625
0.406
0.193
0.445
0.746
0.753
0.625
0.374
0.31
0.193
0.445
0.746
0.406
0.374
0.753
0.625
0.31
0.29
0.754
0.295
0.635
0.251
0.625
0.241
0.707
0.295
0.754
0.29
0.635
0.251
0.625
0.241
0.707
0.291
0.796
0.618
0.758
0.709
0.657
0.177
0.291
0.291
0.618
0.796
0.758
0.177
0.709
0.291
0.657
0.226
0.692
0.31
0.829
0.759
0.313
0.596
0.299
0.692
0.829
0.31
0.226
0.759
0.596
0.313
0.299
0.381
0.733
0.247
1.031
0.201
0.733
0.68
0.379
1.031
0.247
0.733
0.381
0.733
0.201
0.379
0.68
0.184
0.658
0.751
0.323
0.791
0.25
0.764
0.188
0.658
0.184
0.323
0.751
0.188
0.764
0.25
0.791
0.692
0.31
0.226
0.829
0.759
0.299
0.596
0.313
0.31
0.226
0.829
0.692
0.299
0.313
0.596
0.759
0.323
0.751
0.184
0.658
0.791
0.25
0.764
0.188
0.184
0.658
0.323
0.751
0.791
0.764
0.25
0.188
0.733
0.247
0.381
1.031
0.68
0.379
0.201
0.733
1.031
0.381
0.733
0.247
0.68
0.379
0.733
0.201
0.635
0.295
0.29
0.754
0.625
0.251
0.707
0.241
0.29
0.754
0.295
0.635
0.241
0.251
0.707
0.625
0.829
0.31
0.226
0.692
0.299
0.596
0.759
0.313
0.692
0.829
0.31
0.226
0.299
0.596
0.759
0.313
0.635
0.29
0.295
0.754
0.707
0.241
0.251
0.625
0.635
0.754
0.29
0.295
0.625
0.251
0.241
0.707
0.658
0.751
0.323
0.184
0.188
0.791
0.764
0.25
0.751
0.323
0.184
0.658
0.791
0.25
0.188
0.764
0.796
0.291
0.618
0.758
0.291
0.177
0.709
0.657
0.291
0.796
0.618
0.758
0.657
0.177
0.709
0.291
0.323
0.184
0.751
0.658
0.764
0.791
0.25
0.188
0.751
0.184
0.658
0.323
0.764
0.25
0.791
0.188
0.758
0.618
0.291
0.796
0.177
0.709
0.291
0.657
0.758
0.796
0.618
0.291
